Symbol,Company Name,Market Cap,Div. ($),Div. Yield,Payout Ratio,Div. Growth,Payout Freq.,Div. Gr. Years,Div. Years,Div. Growth 3Y,Div. Growth 5Y
C,Citigroup Inc.,216.29B,2.40,1.94%,33.75%,6.79%,Quarterly,3,16,4.98%,2.96%
GEV,GE Vernova Inc.,216.04B,2.00,0.25%,7.07%,-,Quarterly,2,3,-,-
LIN,Linde plc,213.09B,6.00,1.32%,41.07%,7.91%,Quarterly,34,34,7.83%,8.73%
TMO,Thermo Fisher Scientific Inc.,205.42B,1.72,0.31%,9.70%,10.26%,Quarterly,8,14,11.23%,13.33%
AMGN,Amgen Inc.,202.37B,10.08,2.68%,67.88%,5.81%,Quarterly,16,16,6.71%,8.05%
TXN,Texas Instruments Incorporated,198.54B,5.68,2.60%,102.02%,4.51%,Quarterly,22,56,5.17%,7.68%
VZ,Verizon Communications Inc.,198.28B,2.83,6.02%,68.10%,2.50%,Quarterly,21,43,2.10%,2.06%
ABT,Abbott Laboratories,193.13B,2.52,2.27%,64.52%,7.14%,Quarterly,54,56,7.72%,9.42%
BA,The Boeing Company,192.18B,0,-,-,-,-,-,-,-,-
T,AT&T Inc.,190.77B,1.11,4.09%,36.51%,-,Quarterly,-,43,-,-11.80%
SCHW,The Charles Schwab Corporation,190.51B,1.28,1.19%,24.30%,10.78%,Quarterly,1,38,8.28%,9.43%
DIS,The Walt Disney Company,189.78B,1.50,1.40%,22.08%,50.00%,Semi-Annual,2,4,71.00%,37.97%
SAN,"Banco Santander, S.A.",188.84B,0.19,1.45%,16.57%,23.36%,Semi-Annual,4,5,29.95%,44.88%
KLAC,KLA Corporation,188.77B,7.60,0.53%,22.11%,20.63%,Quarterly,10,22,15.36%,16.44%
