index,label,checked,xpath
247,Last Stock Split Type,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[247]/input"
248,Last Stock Split Date,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[248]/input"
249,Altman Z-Score,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[249]/input"
250,Piotroski F-Score,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[250]/input"
251,EPS Growth This Quarter,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[251]/input"
252,EPS Growth Next Quarter,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[252]/input"
253,EPS Growth This Year,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[253]/input"
254,EPS Growth Next Year,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[254]/input"
255,Rev. Growth This Quarter,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[255]/input"
256,Rev. Growth Next Quarter,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[256]/input"
257,Rev. Growth This Year,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[257]/input"
258,Rev. Growth Next Year,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[258]/input"
259,EPS Growth Next 5Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[259]/input"
260,Rev. Growth Next 5Y,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[260]/input"
261,In Index,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[261]/input"
262,Views,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[262]/input"
263,Tag,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[263]/input"
264,Interest Coverage,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[264]/input"
265,Return From IPO Price,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[265]/input"
266,Return From IPO Open,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[266]/input"
267,20-Day Moving Average,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[267]/input"
268,50-Day Moving Average,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[268]/input"
269,150-Day Moving Average,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[269]/input"
270,200-Day Moving Average,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[270]/input"
271,Price Change 20-Day MA,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[271]/input"
272,Price Change 50-Day MA,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[272]/input"
273,Price Change 150-Day MA,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[273]/input"
274,Price Change 200-Day MA,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[274]/input"
275,50 vs. 200-Day MA,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[275]/input"
276,Financial Currency,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[276]/input"
277,SIC Code,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[277]/input"
278,CIK Code,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[278]/input"
279,ISIN Number,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[279]/input"
280,CUSIP Number,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[280]/input"
281,Website,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[281]/input"
282,Funds From Operations (FFO),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[282]/input"
283,P/FFO Ratio,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[283]/input"
