Symbol,Company Name,Market Cap,Div. ($),Div. Yield,Payout Ratio,Div. Growth,Payout Freq.,Div. Gr. Years,Div. Years,Div. Growth 3Y,Div. Growth 5Y,Category,fiveYearAvgDivdendYield,Trainling_5Y_avg_dividend_yield,Trainling_5Y_min_dividend_yield,Trainling_5Y_max_dividend_yield,Trainling_10Y_avg_dividend_yield,Trainling_10Y_min_dividend_yield,Trainling_10Y_max_dividend_yield,Sector,Industry,FCF_Dividend_Ratio,Debt_to_Equity,ROE,EPS_Growth,Revenue_Growth,Trailing_EPS,Five_y_DividendYield_diff,Ten_y_DividendYield_diff
LIN,Linde plc,210.98B,6.40,0.013999999999999999,0.413,0.0696,Quarterly,33.0,35.0,0.08039999999999999,0.0874,Aristocrat,0.013,0.014207687814791347,0.011205859237041519,0.022454396542133857,0.018573204238350818,0.011205859237041519,0.03258926652994545,Basic Materials,Specialty Chemicals,1.81,68.95,18.4,0.113,0.093,15.52,0.07692307692307686,-0.2462259166303601
VZ,Verizon Communications Inc.,198.25B,2.83,0.0593,0.7373000000000001,0.0331,Quarterly,21.0,43.0,0.0236,0.022000000000000002,SCHD,0.062,0.07847696543003992,0.05434402251776095,0.1170041557838816,0.07478901861764305,0.05434402251776095,0.1170041557838816,Communication Services,Telecom Services,1.71,184.08,15.84,-0.22,-0.007,3.84,-0.04354838709677421,-0.20710284616556157
ABT,Abbott Laboratories,178.19B,2.52,0.0245,0.8154,0.0678,Quarterly,54.0,56.0,0.073,0.0696,Aristocrat+King,0.0187,0.021286047626700923,0.013970082313074854,0.029765053742925568,0.021095235807701937,0.013248824740862272,0.038584093872817665,Healthcare,Medical Devices,1.8,63.21,10.58,-0.475,0.13,3.09,0.3101604278074866,0.16139967447318004
PEP,"PepsiCo, Inc.",176.90B,5.92,0.045700000000000005,0.7757999999999999,0.045,Quarterly,54.0,56.0,0.0632,0.06709999999999999,Aristocrat+King+SCHD,0.0303,0.04030936279080984,0.031278363388520254,0.056162539463401065,0.041078218949033095,0.031278363388520254,0.056162539463401065,Consumer Defensive,Beverages - Non-Alcoholic,1.0,238.95,51.51,1.37,0.064,7.63,0.5082508250825084,0.11251171957336524
MCD,McDonald's Corporation,175.28B,7.72,0.031,0.6271,0.047400000000000005,Quarterly,51.0,51.0,0.0643,0.0742,Aristocrat,0.0224,0.025097138838502626,0.02114342038220812,0.037152078365301704,0.028151899321193004,0.02114342038220812,0.04094146995969872,Consumer Cyclical,Restaurants,1.4,,,0.057,0.037,12.31,0.38392857142857145,0.101169041786922
NEE,"NextEra Energy, Inc.",166.06B,2.49,0.0313,0.5602,0.1001,Quarterly,30.0,56.0,0.10060000000000001,0.1011,Aristocrat,0.0255,0.03106119511767907,0.020485537882605313,0.04666053720735365,0.0309072143179282,0.019577101896402504,0.048219056280870184,Utilities,Utilities - Regulated Electric,0.69,161.68,11.68,0.531,0.124,4.45,0.227450980392157,0.012708543643933649
COP,ConocoPhillips,153.16B,3.36,0.0264,0.4464,0.07690000000000001,Quarterly,1.0,56.0,-0.051699999999999996,0.1433,SCHD,0.0247,0.03895299528852066,0.02169137387738092,0.06617602967227827,0.03841907114122732,0.018319222414793678,0.08083738015965704,Energy,Oil & Gas E&P,1.81,35.64,14.18,1.07,0.355,7.55,0.0688259109311741,-0.31284127346664853
CB,Chubb Limited,130.28B,4.08,0.0121,0.1444,0.058499999999999996,Quarterly,34.0,34.0,0.055999999999999994,0.0472,Aristocrat,0.0143,0.017134803048910956,0.008167652944002903,0.02441587829470688,0.022296555724781352,0.008167652944002903,0.043646945610960386,Financial Services,Insurance - Property & Casualty,8.52,30.94,14.82,-0.007,0.061,28.2,-0.15384615384615388,-0.457315284505959
BMY,Bristol-Myers Squibb Company,128.00B,2.52,0.04019999999999999,0.5547,0.0161,Quarterly,19.0,56.0,0.0339,0.051500000000000004,SCHD,0.0402,0.05079173854099518,0.030854525168060563,0.08092278655469032,0.04711116853522723,0.030854525168060563,0.08092278655469032,Healthcare,Drug Manufacturers - General,2.55,201.86,46.6,1.531,0.057,4.54,-1.7260930109221962e-16,-0.1466991533028826
LMT,Lockheed Martin Corporation,123.42B,13.80,0.0258,0.5085000000000001,0.0455,Quarterly,23.0,43.0,0.04769999999999999,0.0582,SCHD,0.0263,0.029653536501524764,0.021622108515462743,0.040755323995557494,0.03113844302944126,0.021622108515462743,0.043523345144199935,Industrials,Aerospace & Defense,2.21,234.24,89.17,4.438,0.105,27.1,-0.01901140684410648,-0.17144219524379514
PH,Parker-Hannifin Corporation,120.88B,8.00,0.0083,0.2809,0.1079,Quarterly,70.0,70.0,0.1058,0.1475,King,0.0121,0.013743982843355788,0.00829241681593536,0.02195703869135015,0.016983888735451678,0.00829241681593536,0.04785229586683918,Industrials,Specialty Industrial Machinery,4.17,56.66,25.08,0.193,0.098,28.49,-0.31404958677685946,-0.5113015558872085
SPGI,S&P Global Inc.,119.18B,3.88,0.0096,0.23629999999999998,0.021099999999999997,Quarterly,53.0,56.0,0.0292,0.0537,Aristocrat+King,0.0082,0.009085688671444239,0.00655662284197141,0.012466142336907435,0.009706905005743595,0.00655662284197141,0.014628096969009834,Financial Services,Financial Data & Stock Exchanges,4.66,42.98,14.26,0.177,0.104,16.42,0.17073170731707296,-0.011013294729920589
MDT,Medtronic plc,117.50B,2.88,0.031400000000000004,0.7094,0.014199999999999999,Quarterly,50.0,50.0,0.0144,0.034,Aristocrat,0.0308,0.03926352151834494,0.025926292759649052,0.05390190761349337,0.033226595279233787,0.016916401160920157,0.05390190761349337,Healthcare,Medical Devices,1.49,55.37,10.65,0.407,0.137,4.06,0.019480519480519588,-0.05497389256657849
MO,"Altria Group, Inc.",114.59B,4.44,0.0647,0.9355,0.041299999999999996,Quarterly,57.0,57.0,0.041299999999999996,0.042699999999999995,King+SCHD,0.0759,0.09992446113547225,0.058093797276853355,0.14679256210972041,0.10137279259278097,0.058093797276853355,0.176840488491661,Consumer Defensive,Tobacco,1.3,,,-0.027,0.012,4.75,-0.14756258234519107,-0.3617616882677507
VLO,Valero Energy Corporation,113.31B,4.80,0.012199999999999999,0.2006,0.0605,Quarterly,3.0,38.0,0.054000000000000006,0.0383,SCHD,0.0316,0.03757412188111895,0.011445025198342474,0.0692583986428109,0.052360420226893946,0.011445025198342474,0.17989695724962013,Energy,Oil & Gas Refining & Marketing,3.58,40.15,27.64,4.535,0.517,23.97,-0.6139240506329114,-0.7669995781711909
LOW,"Lowe's Companies, Inc.",107.35B,5.00,0.026000000000000002,0.4227,0.0426,Quarterly,54.0,56.0,0.044500000000000005,0.1184,Aristocrat+King,0.0179,0.0218960256022109,0.014278918840773442,0.03166710234681849,0.02208213495535698,0.014278918840773442,0.04528234095109776,Consumer Cyclical,Home Improvement Retail,2.9,,,,0.083,11.84,0.4525139664804471,0.17742238477229183
ADP,"Automatic Data Processing, Inc.",107.17B,6.80,0.0252,0.6215999999999999,0.1039,Quarterly,51.0,53.0,0.1079,0.1282,Aristocrat+King,0.0204,0.026324379248297773,0.01870344144734447,0.043077300338357605,0.027031109761071537,0.01870344144734447,0.043077300338357605,Technology,Software - Application,1.82,91.44,72.24,0.098,0.068,10.93,0.23529411764705874,-0.06774082815159084
